"",BigFive_10_1,BigFive_10_2,BigFive_10_6,BigFive_10_8,BigFive_11_1,BigFive_11_2,BigFive_11_6,BigFive_11_8,BigFive_12_1,BigFive_12_2,BigFive_12_6,BigFive_12_8,BigFive_13_1,BigFive_13_2,BigFive_13_6,BigFive_13_8,BigFive_14_1,BigFive_14_2,BigFive_14_6,BigFive_14_8,BigFive_15_1,BigFive_15_2,BigFive_15_6,BigFive_15_8,BigFive_16_1,BigFive_16_2,BigFive_16_6,BigFive_16_8,BigFive_17_1,BigFive_17_2,BigFive_17_6,BigFive_17_8,BigFive_18_1,BigFive_18_2,BigFive_18_6,BigFive_18_8,BigFive_19_1,BigFive_19_2,BigFive_19_6,BigFive_19_8,BigFive_1_1,BigFive_1_2,BigFive_1_6,BigFive_1_8,BigFive_20_1,BigFive_20_2,BigFive_20_6,BigFive_20_8,BigFive_21_1,BigFive_21_2,BigFive_21_6,BigFive_21_8,BigFive_22_1,BigFive_22_2,BigFive_22_6,BigFive_22_8,BigFive_23_1,BigFive_23_2,BigFive_23_6,BigFive_23_8,BigFive_24_1,BigFive_24_2,BigFive_24_6,BigFive_24_8,BigFive_25_1,BigFive_25_2,BigFive_25_6,BigFive_25_8,BigFive_26_1,BigFive_26_2,BigFive_26_6,BigFive_26_8,BigFive_27_1,BigFive_27_2,BigFive_27_6,BigFive_27_8,BigFive_28_1,BigFive_28_2,BigFive_28_6,BigFive_28_8,BigFive_29_1,BigFive_29_2,BigFive_29_6,BigFive_29_8,BigFive_2_1,BigFive_2_2,BigFive_2_6,BigFive_2_8,BigFive_30_1,BigFive_30_2,BigFive_30_6,BigFive_30_8,BigFive_31_1,BigFive_31_2,BigFive_31_6,BigFive_31_8,BigFive_32_1,BigFive_32_2,BigFive_32_6,BigFive_32_8,BigFive_33_1,BigFive_33_2,BigFive_33_6,BigFive_33_8,BigFive_34_1,BigFive_34_2,BigFive_34_6,BigFive_34_8,BigFive_35_1,BigFive_35_2,BigFive_35_6,BigFive_35_8,BigFive_36_1,BigFive_36_2,BigFive_36_6,BigFive_36_8,BigFive_37_1,BigFive_37_2,BigFive_37_6,BigFive_37_8,BigFive_38_1,BigFive_38_2,BigFive_38_6,BigFive_38_8,BigFive_39_1,BigFive_39_2,BigFive_39_6,BigFive_39_8,BigFive_3_1,BigFive_3_2,BigFive_3_6,BigFive_3_8,BigFive_40_1,BigFive_40_2,BigFive_40_6,BigFive_40_8,BigFive_41_1,BigFive_41_2,BigFive_41_6,BigFive_41_8,BigFive_42_1,BigFive_42_2,BigFive_42_6,BigFive_42_8,BigFive_43_1,BigFive_43_2,BigFive_43_6,BigFive_43_8,BigFive_44_1,BigFive_44_2,BigFive_44_6,BigFive_44_8,BigFive_4_1,BigFive_4_2,BigFive_4_6,BigFive_4_8,BigFive_5_1,BigFive_5_2,BigFive_5_6,BigFive_5_8,BigFive_6_1,BigFive_6_2,BigFive_6_6,BigFive_6_8,BigFive_7_1,BigFive_7_2,BigFive_7_6,BigFive_7_8,BigFive_8_1,BigFive_8_2,BigFive_8_6,BigFive_8_8,BigFive_9_1,BigFive_9_2,BigFive_9_6,BigFive_9_8,egoid,Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness
381,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,67993,4.305556,3.777778,3.625000,3.666667,3.696296
382,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,96543,3.944444,3.777778,4.562500,2.750000,3.444444
383,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,49800,4.185185,3.111111,3.291667,3.541667,3.433333
384,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,29296,4.166667,3.111111,2.187500,3.437500,2.588889
385,4.0,4.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,3.0,1.0,0.0,1.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,0.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,11002,4.740741,4.296296,3.375000,1.500000,3.029630
387,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,15134,3.703704,4.148148,3.958333,2.083333,2.759259
390,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,34062,3.833333,4.833333,3.343750,3.406250,3.927778
391,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,18111,3.629630,3.851852,3.083333,3.583333,2.648148
392,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,3.0,42646,3.555556,4.148148,3.750000,3.166667,3.077778
394,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,59097,3.055556,3.944444,3.812500,3.000000,3.105556
395,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,72912,3.629630,4.296296,4.750000,2.291667,3.296296
397,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,24833,3.666667,2.666667,3.000000,2.312500,2.655556
401,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,84502,4.259259,3.925926,3.666667,2.750000,3.611111
403,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,52123,3.500000,3.055556,4.187500,2.687500,3.588889
404,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,78783,4.277778,3.944445,3.812500,2.187500,3.483333
405,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,0.0,1.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,25197,4.361111,4.222222,1.750000,3.437500,2.786111
